FanID,IWave_Properties,IWave_PropertiesValue,IWave_AnnualCapacity,IWave_AnnualCapacityTargetProduction
5640,0.0,,,
5674,0.0,,,
5704,1.0,341800.0,1709.0,290.53
5721,0.0,,7500.0,1275.0
5736,1.0,872100.0,9157.0,1556.69
5737,0.0,,,
5754,0.0,,,
5767,7.0,764300.0,8025.0,1364.25
5787,0.0,,2750.0,467.5
5791,0.0,,,
5798,1.0,258700.0,2000.0,340.0
5830,1.0,58097.0,2750.0,467.5
5834,0.0,,,
5840,0.0,,,
5853,0.0,,,
5862,0.0,,300.0,51.0
5902,1.0,239384.0,478.0,81.26
5929,1.0,499300.0,4993.0,848.81
5933,2.0,678800.0,7127.0,1211.59
5952,1.0,311600.0,2500.0,425.0
5953,1.0,360700.0,3500.0,595.0
5963,1.0,377300.0,4000.0,680.0
5982,0.0,,7500.0,1275.0
6013,1.0,279400.0,558.0,94.86
6017,0.0,,,
6035,1.0,275400.0,5508.0,936.36
6078,0.0,,,
6079,1.0,367200.0,1836.0,312.12
6090,2.0,559100.0,3926.0,667.42
6098,0.0,,,
6106,0.0,,,
6116,1.0,479800.0,5038.0,856.46
6119,2.0,479400.0,5033.0,855.61
6134,0.0,,,
6137,0.0,,2000.0,340.0
6142,0.0,,,
6147,0.0,,,
6150,1.0,590700.0,5907.0,1004.19
6160,2.0,562000.0,2686.0,456.62
6169,0.0,,600.0,102.0
6175,1.0,161800.0,3500.0,595.0
6176,1.0,580200.0,7500.0,1275.0
6189,0.0,,,
6206,1.0,467300.0,9813.0,1668.21
6223,0.0,,,
6226,1.0,131000.0,1375.0,233.75
6267,0.0,,,
6269,0.0,,,
6270,1.0,1303500.0,20530.0,3490.1
6298,1.0,262400.0,2500.0,425.0
6301,2.0,959000.0,14032.0,2385.44
6319,1.0,448300.0,4483.0,762.11
6324,0.0,,,
6325,1.0,273600.0,547.0,92.99
6327,1.0,669400.0,7028.0,1194.76
6345,0.0,,,
6362,2.0,1571300.0,19789.0,3364.13
6396,0.0,,3500.0,595.0
6440,1.0,205900.0,2250.0,382.5
6442,1.0,1356000.0,20340.0,3457.8
6448,2.0,1488000.0,24046.0,4087.82
6464,1.0,778300.0,20000.0,3400.0
6465,0.0,,,
6488,0.0,,,
6498,1.0,280400.0,2804.0,476.68
6507,0.0,,,
6512,1.0,268900.0,564.0,95.88
6514,1.0,312800.0,2750.0,467.5
6529,0.0,,,
6535,1.0,412200.0,4122.0,700.74
6548,1.0,481900.0,5060.0,860.2
6552,0.0,,,
6560,0.0,,,
6562,1.0,498700.0,5236.0,890.12
6564,1.0,503400.0,2517.0,427.89
6570,1.0,254400.0,2671.0,454.07
6571,3.0,5744100.0,138182.0,23490.94
6573,1.0,489100.0,5135.0,872.95
6574,0.0,,,
6582,1.0,963800.0,10120.0,1720.4
6590,0.0,,,
6593,0.0,,2500.0,425.0
6597,1.0,366600.0,3666.0,623.22
6599,1.0,322200.0,644.0,109.48
6600,0.0,,7500.0,1275.0
6603,0.0,,,
6606,1.0,1178300.0,11783.0,2003.11
6611,2.0,520300.0,3787.0,643.79
6614,0.0,,,
6618,0.0,,,
6637,1.0,427800.0,4492.0,763.64
6650,1.0,515000.0,5407.0,919.19
6651,1.0,444000.0,2220.0,377.4
6674,0.0,,,
6675,0.0,,,
6676,1.0,457100.0,4571.0,777.07
6686,0.0,,,
6689,2.0,655300.0,6553.0,1114.01
6692,1.0,3345500.0,50182.0,8530.94
6694,1.0,400000.0,3500.0,595.0
6706,1.0,573800.0,5738.0,975.46
6712,2.0,606511.0,6368.0,1082.56
6714,1.0,312500.0,2750.0,467.5
6715,1.0,432000.0,4536.0,771.12
6755,0.0,,,
6758,1.0,1546900.0,23203.0,3944.51
6759,0.0,,200.0,34.0
6782,1.0,374800.0,1874.0,318.58
6791,0.0,,2250.0,382.5
6792,1.0,336100.0,2750.0,467.5
6795,1.0,408715.0,4000.0,680.0
6797,1.0,254200.0,508.0,86.36
6821,0.0,,15000.0,2550.0
6826,0.0,,,
6834,1.0,195000.0,4000.0,680.0
6836,0.0,,,
6857,1.0,549300.0,5767.0,980.39
6865,1.0,408100.0,11250.0,1912.5
6873,2.0,259194.0,2000.0,340.0
6891,0.0,,20000.0,3400.0
6898,0.0,,2500.0,425.0
6905,1.0,431100.0,4311.0,732.87
6906,1.0,600.0,7500.0,1275.0
6907,0.0,,,
6913,0.0,,,
6927,0.0,,,
6953,1.0,153000.0,321.0,54.57
6970,0.0,,1250.0,212.5
6976,1.0,503200.0,5032.0,855.44
6979,0.0,,,
6991,0.0,,,
6994,0.0,,,
6997,1.0,487800.0,4000.0,680.0
7015,1.0,836700.0,8367.0,1422.39
7020,1.0,375900.0,1879.0,319.43
7032,1.0,365000.0,1916.0,325.72
7033,0.0,,,
7035,0.0,,,
7048,1.0,622700.0,6227.0,1058.59
7050,0.0,,4000.0,680.0
7051,1.0,735400.0,7721.0,1312.57
7064,0.0,,,
7065,0.0,,,
7077,1.0,1154700.0,12124.0,2061.08
7079,1.0,1220700.0,18310.0,3112.7
7081,1.0,597900.0,6278.0,1067.26
7091,1.0,318500.0,2750.0,467.5
7096,0.0,,,
7103,0.0,,,
7106,0.0,,,
7107,1.0,490400.0,5149.0,875.33
7112,1.0,847900.0,8903.0,1513.51
7118,0.0,,,
7119,0.0,,,
7120,1.0,514500.0,4500.0,765.0
7121,0.0,,,
7122,1.0,633400.0,6650.0,1130.5
7123,0.0,,,
7124,1.0,1050600.0,10506.0,1786.02
7125,0.0,,2500.0,425.0
7126,2.0,4800400.0,100998.0,17169.66
7127,0.0,,,
7130,1.0,442200.0,4500.0,765.0
7131,1.0,426400.0,4264.0,724.88
7132,1.0,651100.0,7500.0,1275.0
7133,1.0,715700.0,7157.0,1216.69
7134,0.0,,,
7135,1.0,360700.0,3000.0,510.0
7136,0.0,,,
7137,1.0,678957.0,6789.0,1154.13
7138,1.0,239800.0,2000.0,340.0
7140,2.0,7056300.0,169211.0,28765.87
7142,0.0,,,
7145,0.0,,3000.0,510.0
7146,1.0,1094800.0,10948.0,1861.16
7147,0.0,,,
7148,1.0,347400.0,694.0,117.98
7155,0.0,,,
7156,0.0,,,
7158,1.0,491400.0,4914.0,835.38
7161,2.0,931208.0,9312.0,1583.04
7162,1.0,788900.0,7889.0,1341.13
7164,1.0,1333600.0,14002.0,2380.34
7165,9.0,1260900.0,14928.0,2537.76
7167,3.0,723300.0,7233.0,1229.61
7174,0.0,,5000.0,850.0
