FanID,DriveYear,predicted_amount,pct_years_met_commitment,high_amount,high_reliability,quadrant
10023,2019,943.6526,100.0,False,True,Base Estable
10067,2023,917.1992,100.0,False,True,Base Estable
10153,2024,627.78955,100.0,False,True,Base Estable
10186,2022,1238.958,100.0,False,True,Base Estable
10215,2025,673.2065,100.0,False,True,Base Estable
10263,2024,315.96896,100.0,False,True,Base Estable
10275,2024,109.57645,83.33333333333333,False,False,Baja Prioridad
10331,2017,1586.5768,100.0,True,True,VIP — Prioridad Máxima
10340,2023,1326.4774,100.0,True,True,VIP — Prioridad Máxima
10380,2021,2854.0151,100.0,True,True,VIP — Prioridad Máxima
10453,2022,72.05193,100.0,False,True,Base Estable
10466,2018,346.0013,100.0,False,True,Base Estable
10471,2024,458.93774,100.0,False,True,Base Estable
10491,2024,1641.271,100.0,True,True,VIP — Prioridad Máxima
10495,2019,86.73785,100.0,False,True,Base Estable
10506,2024,959.65674,100.0,False,True,Base Estable
10578,2024,268.16293,100.0,False,True,Base Estable
10623,2024,110.93084,100.0,False,True,Base Estable
10651,2022,1401.9777,100.0,True,True,VIP — Prioridad Máxima
10764,2024,107.41185,100.0,False,True,Base Estable
10783,2019,16619.836,100.0,True,True,VIP — Prioridad Máxima
10800,2024,1291.7844,100.0,True,True,VIP — Prioridad Máxima
10810,2023,653.5205,100.0,False,True,Base Estable
10824,2020,615.6327,100.0,False,True,Base Estable
10825,2014,1066.9736,,False,False,Baja Prioridad
10835,2019,70.899445,100.0,False,True,Base Estable
10840,2024,122.46645,100.0,False,True,Base Estable
10847,2024,8607.127,100.0,True,True,VIP — Prioridad Máxima
10851,2017,1030.9064,100.0,False,True,Base Estable
10861,2024,5295.9595,100.0,True,True,VIP — Prioridad Máxima
10885,2025,875.33356,100.0,False,True,Base Estable
10902,2016,613.1179,100.0,False,True,Base Estable
10908,2018,313.19547,100.0,False,True,Base Estable
10983,2019,335.5843,100.0,False,True,Base Estable
10986,2018,96.50871,100.0,False,True,Base Estable
11011,2024,6152.8696,100.0,True,True,VIP — Prioridad Máxima
11026,2018,359.147,100.0,False,True,Base Estable
11046,2023,631.4051,87.5,False,False,Baja Prioridad
11166,2024,1146.9762,83.33333333333333,False,False,Baja Prioridad
11174,2024,781.55804,100.0,False,True,Base Estable
11205,2024,584.44135,100.0,False,True,Base Estable
11262,2015,603.1554,100.0,False,True,Base Estable
11297,2023,134.5048,100.0,False,True,Base Estable
11302,2016,946.85297,100.0,False,True,Base Estable
11396,2018,485.61478,50.0,False,False,Baja Prioridad
11424,2022,655.9087,100.0,False,True,Base Estable
11431,2024,240.02989,100.0,False,True,Base Estable
11441,2024,5205.1367,100.0,True,True,VIP — Prioridad Máxima
11482,2024,2629.1155,100.0,True,True,VIP — Prioridad Máxima
11514,2024,1790.2308,100.0,True,True,VIP — Prioridad Máxima
11548,2019,931.80334,100.0,False,True,Base Estable
11560,2017,71.28101,100.0,False,True,Base Estable
11614,2018,2686.0256,100.0,True,True,VIP — Prioridad Máxima
11620,2024,1396.9053,100.0,True,True,VIP — Prioridad Máxima
11626,2015,2620.3574,100.0,True,True,VIP — Prioridad Máxima
11674,2024,2826.3467,100.0,True,True,VIP — Prioridad Máxima
11677,2020,331.2771,100.0,False,True,Base Estable
11682,2024,2079.027,100.0,True,True,VIP — Prioridad Máxima
11895,2024,1629.7997,100.0,True,True,VIP — Prioridad Máxima
12043,2024,120.86271,100.0,False,True,Base Estable
12053,2024,6352.0117,100.0,True,True,VIP — Prioridad Máxima
12062,2016,367.12515,100.0,False,True,Base Estable
12071,2022,409.10617,100.0,False,True,Base Estable
12110,2015,162.00223,100.0,False,True,Base Estable
12115,2021,178.38309,100.0,False,True,Base Estable
12127,2023,2055.0117,100.0,True,True,VIP — Prioridad Máxima
12174,2020,73.91994,100.0,False,True,Base Estable
12286,2023,6610.892,100.0,True,True,VIP — Prioridad Máxima
12300,2015,1513.7319,100.0,True,True,VIP — Prioridad Máxima
12337,2017,2884.8523,100.0,True,True,VIP — Prioridad Máxima
12384,2024,808.69385,100.0,False,True,Base Estable
12394,2017,104.95186,100.0,False,True,Base Estable
12409,2017,498.17413,100.0,False,True,Base Estable
12417,2015,119.897705,100.0,False,True,Base Estable
12438,2024,6591.8013,100.0,True,True,VIP — Prioridad Máxima
12476,2024,246.86012,100.0,False,True,Base Estable
12526,2024,858.02893,100.0,False,True,Base Estable
12555,2024,1674.539,88.88888888888889,True,False,Alto Potencial — Requiere Seguimiento
12591,2024,81.259995,100.0,False,True,Base Estable
12596,2025,8384.145,100.0,True,True,VIP — Prioridad Máxima
12601,2018,815.70105,100.0,False,True,Base Estable
12667,2021,7912.3535,100.0,True,True,VIP — Prioridad Máxima
12709,2023,872.5658,50.0,False,False,Baja Prioridad
12711,2024,1268.4148,100.0,True,True,VIP — Prioridad Máxima
12735,2024,2925.6526,100.0,True,True,VIP — Prioridad Máxima
12763,2024,155.70218,100.0,False,True,Base Estable
12773,2024,604.8494,100.0,False,True,Base Estable
12824,2024,2667.225,100.0,True,True,VIP — Prioridad Máxima
12839,2024,165.91634,100.0,False,True,Base Estable
12857,2019,687.373,100.0,False,True,Base Estable
12884,2017,392.35287,100.0,False,True,Base Estable
12894,2024,646.97626,100.0,False,True,Base Estable
12922,2024,1001.0187,87.5,False,False,Baja Prioridad
12940,2021,313.51984,100.0,False,True,Base Estable
12950,2018,664.7658,100.0,False,True,Base Estable
12958,2016,1012.4425,100.0,False,True,Base Estable
12982,2024,1379.3706,100.0,True,True,VIP — Prioridad Máxima
12983,2023,191.30603,100.0,False,True,Base Estable
12986,2018,3025.6223,100.0,True,True,VIP — Prioridad Máxima
13004,2015,702.1979,100.0,False,True,Base Estable
13023,2022,938.95844,100.0,False,True,Base Estable
13051,2024,422.74863,100.0,False,True,Base Estable
13060,2024,73.78442,100.0,False,True,Base Estable
13080,2024,4810.566,100.0,True,True,VIP — Prioridad Máxima
13086,2024,76.751884,100.0,False,True,Base Estable
13113,2024,1668.8002,100.0,True,True,VIP — Prioridad Máxima
13116,2019,5969.5103,100.0,True,True,VIP — Prioridad Máxima
13142,2025,1333.8646,100.0,True,True,VIP — Prioridad Máxima
13221,2024,341.25204,100.0,False,True,Base Estable
13297,2022,165.04303,100.0,False,True,Base Estable
13440,2025,3704.8203,100.0,True,True,VIP — Prioridad Máxima
13453,2024,71.97899,85.71428571428571,False,False,Baja Prioridad
13534,2018,623.583,100.0,False,True,Base Estable
13542,2024,1411.2941,100.0,True,True,VIP — Prioridad Máxima
13550,2024,658.1003,100.0,False,True,Base Estable
13619,2024,125.47245,100.0,False,True,Base Estable
13649,2024,785.5389,100.0,False,True,Base Estable
13704,2019,473.84488,75.0,False,False,Baja Prioridad
13727,2022,1992.4202,100.0,True,True,VIP — Prioridad Máxima
13737,2017,917.89215,100.0,False,True,Base Estable
13844,2022,875.8565,100.0,False,True,Base Estable
13872,2024,2708.1233,100.0,True,True,VIP — Prioridad Máxima
