FanID,Board,Role,StartDate,EndDate,Current
578840,Seminole Boosters Board of Directors,Ex-Officio,1982-01-01T00:00:00.000000000,1983-12-31T00:00:00.000000000,false
578840,Seminole Boosters Board of Directors,Ex-Officio,1985-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,false
164028,Seminole Boosters Board of Directors,At-Large,2013-07-01T00:00:00.000000000,2016-06-30T00:00:00.000000000,false
164028,Seminole Boosters Board of Directors,At-Large,2016-07-01T00:00:00.000000000,2018-06-30T00:00:00.000000000,false
164028,Seminole Boosters Board of Directors,Secretary,2018-07-01T00:00:00.000000000,2019-06-30T00:00:00.000000000,false
132778,Seminole Boosters Board of Directors,At-Large,2004-01-01T00:00:00.000000000,2007-06-30T00:00:00.000000000,false
132778,Seminole Boosters Board of Directors,At-Large,2007-07-01T00:00:00.000000000,2008-06-30T00:00:00.000000000,false
728607,Seminole Boosters Board of Directors,At-Large,2014-07-01T00:00:00.000000000,2016-06-30T00:00:00.000000000,true
728607,Seminole Boosters Board of Directors,Chair,2019-07-01T00:00:00.000000000,2021-06-30T00:00:00.000000000,true
728607,Seminole Boosters Board of Directors,Emeritus,2024-07-01T00:00:00.000000000,,true
728607,Seminole Boosters Board of Directors,Immediate Past Chair,2021-07-01T00:00:00.000000000,2021-11-04T00:00:00.000000000,true
728607,Seminole Boosters Board of Directors,Past Chair,2021-11-04T00:00:00.000000000,2023-06-30T00:00:00.000000000,true
728607,Seminole Boosters Board of Directors,Treasurer,2016-07-01T00:00:00.000000000,2018-06-30T00:00:00.000000000,true
728607,Seminole Boosters Board of Directors,Vice Chair,2018-07-01T00:00:00.000000000,2019-06-30T00:00:00.000000000,true
109264,Seminole Boosters Board of Directors,At-Large,2017-07-01T00:00:00.000000000,2023-06-30T00:00:00.000000000,false
723785,Seminole Boosters Board of Directors,At-Large,2020-07-01T00:00:00.000000000,,true
474597,Seminole Boosters Board of Directors,At-Large,2003-01-01T00:00:00.000000000,2005-12-31T00:00:00.000000000,false
474597,Seminole Boosters Board of Directors,At-Large,2006-01-01T00:00:00.000000000,2008-06-30T00:00:00.000000000,false
474597,Seminole Boosters Board of Directors,Ex-Officio,2001-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,false
274540352,Seminole Boosters Board of Directors,Ex-Officio,2008-07-01T00:00:00.000000000,2009-06-30T00:00:00.000000000,false
772972,Seminole Boosters Board of Directors,At-Large,2018-07-01T00:00:00.000000000,2022-06-23T00:00:00.000000000,false
116351,Seminole Boosters Board of Directors,Ex-Officio,1997-01-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,false
137972,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
137972,Seminole Boosters Board of Directors,At-Large,1991-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,false
132592,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1979-12-31T00:00:00.000000000,false
132592,Seminole Boosters Board of Directors,At-Large,1982-01-01T00:00:00.000000000,1982-12-31T00:00:00.000000000,false
132592,Seminole Boosters Board of Directors,Ex-Officio,1980-01-01T00:00:00.000000000,1981-12-31T00:00:00.000000000,false
45309,Seminole Boosters Board of Directors,At-Large,2004-01-01T00:00:00.000000000,2007-06-30T00:00:00.000000000,false
45309,Seminole Boosters Board of Directors,At-Large,2007-07-01T00:00:00.000000000,2010-06-30T00:00:00.000000000,false
